file,section
content/01_introduction.typ,Introduction
content/02_background.typ,Background
content/04_methodology.typ,Methodology
content/05_results.typ,Ontology of Wargames
content/06_discussion.typ,Discussion
content/07_safety.typ,Safety Considerations
content/08_recommendations.typ,Recommendations
content/09_future_work.typ,Open Research Questions
content/03_related_works.typ,Related Works
content/10_conclusion.typ,Conclusion
content/tables/ai_in_wargames_table.typ,Appendix A: Selected AI in Wargames Papers
content/tables/table_v2.typ,Appendix A: Selected AI in Wargames Papers
content/appendix_A.typ,Appendix A: On Wargames
content/appendix_B.typ,Appendix B: Literature Review Protocols <app:lit-review-protocols>
content/appendix_C.typ,Appendix C: Detailed Safety Considerations <app:safety-details>
content/appendix_D.typ,Appendix D: Detailed Recommendations <app:recommendations-details>
